country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,
Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,
Netherlands,0,0,0,0,0,0,0,0,0,0,0,4.17,3.86,3.71,3.95,3.88,3.47,3.6,3.65,2.84,2.29,2.22,2.26,2.24
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,11.4,10.5,11.1,9.76,9.42,8.65,9.76,9.16,8.43,6.89,7.6,
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,4.36,3.72,10,2.54,7.29,4.63,3.44,2.98,3.54,0,7.79,
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8,
Norway,0,0,0,0,0,0,0,0,0,0,0,4.33,4.79,5.46,4.94,5.26,4.31,4.94,4.41,4.11,3.57,3.23,3.13,
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91,10.2,6.61,6.87,7.52,7.58,6.67,6.96,7.99,0,
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,
Paraguay,0,0,0,0,0,0,0,0,0,0,0,2.72,3.89,4.82,6.07,5.57,4.74,3.13,3.35,2.56,2.68,3.25,0,
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,14,0,0,0,0,0,0,4.45,
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,3.58,2.8,2.82,2.51,0,0,0,0,
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84,8.28,7.6,7.87,7.48,7.1,7.2,6.83,7.52,7.67
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96,2.43,5.63,0,3.49,4.61,0,0,0,5.08,
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95,0,0,
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8,
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99,
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3,
Singapore,0,0,0,0,0,0,1.05,1.01,0.997,1.24,0.848,1.03,1.19,0.953,0.808,0.918,0.923,0.805,0.914,0,0,0,0.715,
Slovak Republic,0,0,0,0,0,0,0,0,0,6.3,7.01,6.22,8.04,8.43,6.65,5.68,6.1,5.97,6.25,5.81,5.97,0,6.75,
Slovenia,11.8,13.8,14.8,15.1,18.2,14.2,13.4,13.3,14.5,17.3,12.2,12.9,10,8.35,8.51,7.58,8.03,7.69,6.78,7.92,7.09,7.21,8.64,5.32
South Africa,0,0,0,0,0,0,0,0,0,0,0,24.5,6.17,8.23,6.02,4.68,3.8,2.39,5.02,4.24,5.41,7,8.91,
South Korea,0,0,0,0,0,0,0,0,0,0,12.3,11.1,7.22,2.82,2.2,4.16,2.67,2.86,6.35,5.13,4.7,4.62,4.32,
Spain,0,0,0,0,0,0,0,0,0,0,0,0,10.1,10.8,10.3,10.2,9.17,8.82,8.82,7.47,6.6,5.15,0,
St. Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9
St. Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0.946,1.63,0,1.44,0,0,3.12,
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,
Suriname,0,0,0,0,0,0,0,0,0,0,3.57,7.78,13,8.89,18.8,13.8,0,0,0,10.8,11.3,0,8.57,
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,
Sweden,0,0,0,0,0,0,0,0,0,0,0,3.98,3.6,3.49,3.95,4.26,4.29,4.13,3.88,3.09,3.18,3.1,2.74,
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0,
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45,
Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,
Thailand,0,0,0,0,0,0,12.3,3.89,0,25.3,26.8,25.8,17.1,8.04,16.3,13.6,0,9.38,0,0,0,7.98,2.1,
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46,6.48,9.63,7.51,0,0,0,0,9.45,
Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.19,0,
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77,
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.9,
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,3.39,0,3.17,3.46,3.56,3.29,3.35,3.26,3.38,
United States,0,0,0,0,0,0,0,0,0,0,0,0,12.7,12.5,11,10.9,10.8,11.2,10.6,10.3,9.95,9.52,0,
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,4.97,7.45,5.06,3.22,2.69,0,0,2.57,0,0,0,
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,6.42,0,0,
Venezuela,0,0,0,0,0,0,0,0,0,0,0,4.82,6.29,8.22,7.39,7.95,8.08,7.98,6.49,6.85,6.82,0,7.33,
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9,0,
